release_date,track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,mils_of_streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
2023-05-12,All My Life (feat. J. Cole),"J. Cole, Lil Durk",2,2175,23,144.5651,69,145,69.0,2,478.0,143,D#,Major,83,69,44,15,0,10,33
2023-03-17,Say Yes To Heaven,Lana Del Rey,1,2000,46,127.5675,49,105,63.0,1,0.0,100,F#,Minor,49,17,35,71,9,11,3
2022-12-09,Snooze,SZA,1,2839,25,399.6868,58,156,42.0,1,236.0,143,F,Major,56,39,55,14,0,11,13
2011-01-01,Summertime Sadness,Lana Del Rey,1,20333,52,983.6375,89,143,,3,200.0,112,C#,Minor,56,24,66,7,0,12,3
2023-06-09,Take Two,BTS,1,674,47,118.4823,20,106,25.0,4,78.0,93,G,Major,62,57,59,3,0,38,3
2012-01-01,Lover,Taylor Swift,1,8448,23,882.8312,160,110,163.0,0,5.0,206,G,Major,43,50,55,50,0,15,10
2022-12-02,Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",3,2110,58,286.4002,17,119,19.0,2,266.0,88,G,Minor,68,17,71,15,0,11,5
2023-04-14,Chemical,Post Malone,1,2528,39,172.8259,56,91,59.0,3,486.0,170,D,Major,50,37,90,0,0,12,5
2004-01-01,Mockingbird,Eminem,1,12985,61,1241.559,49,98,,5,204.0,84,E,Minor,62,24,67,21,0,13,28
2023-07-07,New Jeans,NewJeans,1,77,35,29.5622,8,166,4.0,4,34.0,134,E,Minor,81,53,72,51,0,12,5
2022-04-20,Primera Cita,Carin Leon,1,266,27,77.3096,6,40,6.0,6,202.0,158,A#,Major,54,50,40,61,0,10,6
2017-11-10,Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",3,21097,52,1605.2245,384,135,,37,312.0,116,C#,Major,80,92,80,4,0,10,3
2017-04-28,Dandelions,Ruth B.,1,3423,21,1116.9956,41,100,59.0,1,32.0,117,C#,Major,61,45,69,2,0,9,3
2021-03-11,Bones,Imagine Dragons,1,4198,44,838.0799,98,108,327.0,17,153.0,114,F,Minor,77,65,72,2,0,7,5
2011-01-01,Set Fire to the Rain,Adele,1,14739,43,1163.6207,88,112,,5,519.0,108,D,Minor,61,47,68,0,0,13,3
2012-01-01,Money Trees,"Kendrick Lamar, Jay Rock",2,26792,32,1093.6055,69,113,695.0,0,458.0,144,E,Minor,74,37,53,7,0,21,10
2022-12-02,Tak Segampang Itu,Anggi Marito,1,213,6,179.6593,7,6,0.0,0,48.0,130,F,Major,51,18,44,76,0,11,3
2023-06-22,LAGUNAS,"Jasiel Nuï¿½ï¿½ez, Peso P",2,58,18,39.0586,2,106,4.0,2,184.0,116,B,Major,77,79,62,33,1,15,3
2023-07-07,Mine (Taylor's Version),Taylor Swift,1,99,15,36.9121,21,52,6.0,1,0.0,121,G,Major,65,49,78,0,0,17,4
1985-02-17,Everybody Wants To Rule The World,Tears For Fears,1,41751,25,1205.9516,101,32,,0,666.0,112,G,Major,64,54,81,36,0,11,6
2014-12-09,No Role Modelz,J. Cole,1,21164,36,1791.0006,80,65,476.0,0,14.0,100,A#,Minor,70,47,52,30,0,6,33
2023-02-25,Tattoo,Loreen,1,2988,59,201.6609,74,102,145.0,18,925.0,150,D#,Minor,55,30,78,24,0,12,8
2023-02-08,Rara Vez,"Taiu, Milo j",2,893,38,248.089,19,23,24.0,3,88.0,120,F,Minor,84,96,71,18,0,34,17
2023-05-12,VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Beï¿½ï",3,1094,34,90.8398,40,58,47.0,8,203.0,127,B,Minor,82,89,85,4,0,23,6
2020-07-24,august,Taylor Swift,1,7324,22,607.1238,25,81,61.0,1,44.0,90,F,Major,51,42,61,53,0,9,3
2023-06-22,LUNA,"Junior H, Peso Pluma",2,201,11,55.8423,19,117,8.0,1,74.0,128,A,Minor,75,79,63,33,0,15,4
2023-03-10,Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",2,5120,48,211.0508,161,115,246.0,9,638.0,143,A,Major,64,31,87,4,4,8,4
2022-07-15,Nonsense,Sabrina Carpenter,1,2346,27,342.8979,69,12,38.0,8,64.0,139,G#,Major,74,68,68,3,0,26,4
2022-12-09,Que Vuelvas,"Carin Leon, Grupo Frontera",2,763,26,0.0028,21,110,21.0,9,71.0,162,A#,Major,49,78,64,19,0,11,4
